State       Ref   Expt.       COSCI/AE      COSCI/ccECP
GS-mult     1     0.0000000   0.000000000   0.000000000
{}          0     0.3436439   0.358818185   0.361020973
{}          0     0.5790626   0.614972204   0.622910225
{}          0     0.7655931   0.812111892   0.825086158
f8s2d1-mult 1     0.0000000   0.000000000   0.000000000
{}          0     0.0218931   0.007499580   0.006464572
{}          0     0.0278152   0.058003438   0.055873103
{}          0     0.1345904   0.171641216   0.167599463
{}          0     0.2645798   0.286335199   0.283800712
{}          0     0.3581996   0.375135401   0.375747652
{}          0     0.4240656   0.439932549   0.443161863
{}          0     0.4627970   0.479231510   0.484264678
f9s1-mult   1     0.0000000   0.000000000   0.000000000
{}          0     0.1260151   0.165592578   0.204660169
{}          0     0.3731986   0.401877458   0.431959206
{}          0     0.4392016   0.478294876   0.500668878
f9-mult     1     0.000000    0.000000000   0.000000000
{}          0     0.347735    0.359259583   0.360691632
{}          0     0.587006    0.616019736   0.622771800
{}          0     0.775903    0.813675383   0.825173384
{}          0     0.920237    0.965983575   0.981244407
{}          0     1.027319    1.079237537   1.097458670
f8d1-mult   1     0.0000000   0.000000000   0.000000000
{}          0     0.0305420   0.054583943   0.051892315
{}          0     0.0375840   0.021402927   0.019578595
{}          0     0.1361460   0.162596054   0.158110440
{}          0     0.2509090   0.269132804   0.266663520
{}          0     0.3355727   0.352579494   0.353372253
{}          0     0.3958650   0.413649912   0.417119102
{}          0     0.4317225   0.450747920   0.456026363
f8p1-mult   1     0.0000000   0.000000000   0.000000000
{}          0     0.0264645   0.004455702   0.002389033
{}          0     0.2221723   0.226011933   0.214975731
{}          0     0.3215254   0.319229846   0.333928181
{}          0     0.3627642   0.379213393   0.369143912
{}          0     0.4826774   0.491762623   0.492266079
