                                                  

         SCF,CCSD
   -3382.967879,   -3384.082165
   -3382.924224,   -3384.034210
   -3382.931012,   -3384.072706
   -3382.772273,   -3383.860132
   -3382.783011,   -3383.851416
   -3382.361693,   -3383.406499
   -3382.185450,   -3383.219503
   -3381.925777,   -3382.950183
   -3381.642610,   -3382.659947
   -3379.436996,   -3380.421312
   -3376.708888,   -3377.651461
   -3373.435628,   -3374.327599
   -3369.367695,   -3370.237440
   -3364.700846,   -3365.544452
   -3359.415416,   -3360.229538
                                                  
