                                                  

       SCF,CCSD
   -37.81619442,   -38.16513471
   -37.77226230,   -38.11694997
   -37.78112855,   -38.15602820
   -37.62005298,   -37.94251707
   -37.63121804,   -37.93418379
   -37.20971644,   -37.48928139
   -37.03410258,   -37.30268483
   -36.77494713,   -37.03396627
   -36.49164834,   -36.74346952
   -34.28275171,   -34.50287180
   -31.55524438,   -31.73388340
   -28.28821432,   -28.41525021
   -24.21606660,   -24.32328955
   -19.55199127,   -19.63577840
   -14.27860330,   -14.33604282
                                                  
