                                                  

       SCF,CCSD
   -37.47240490,   -37.82677080
   -37.42546604,   -37.77601269
   -37.39110736,   -37.82554470
   -37.27422662,   -37.60288803
   -37.28767311,   -37.59620308
   -36.86632174,   -37.15060881
   -36.68606846,   -36.96004565
   -36.42712971,   -36.69107576
   -36.14381222,   -36.40034560
   -33.96425238,   -34.18840569
   -31.26866435,   -31.45094327
   -28.03485463,   -28.16549925
   -24.00061813,   -24.11112403
   -19.37227740,   -19.45877990
   -14.13019429,   -14.18956186
                                                  
