                                                  

       SCF,CCSD
   -37.81470812,   -38.16360040
   -37.77090101,   -38.11567114
   -37.77886825,   -38.15379643
   -37.61916018,   -37.94193503
   -37.62941857,   -37.93234426
   -37.20701702,   -37.48630013
   -37.03029668,   -37.29894558
   -36.77074252,   -37.02969835
   -36.48761099,   -36.73948993
   -34.27491326,   -34.49531093
   -31.54353306,   -31.72276892
   -28.27262459,   -28.40070275
   -24.19688795,   -24.30534832
   -19.52942085,   -19.61439200
   -14.25284281,   -14.31119147
                                                  
