                                                  

       SCF,CCSD
   -37.59429214,   -37.95041288
   -37.70926966,   -38.05599318
   -37.53080184,   -38.09569300
   -37.55729430,   -37.88200588
   -37.56827384,   -37.87312081
   -37.14673693,   -37.42779333
   -36.97006807,   -37.24059316
   -36.71010218,   -36.97073916
   -36.42693543,   -36.68045578
   -34.22000782,   -34.44177560
   -31.49416526,   -31.67462245
   -28.22788945,   -28.35721680
   -24.15809056,   -24.26760875
   -19.49403744,   -19.57983758
   -14.21706737,   -14.27596756
                                                  
