r,ae,UC,crenbl,lanl2,mdfstu,mwbstu,sbkjc,ECP
1.1,0.18718798,0.188457,0.18749222,0.18771112,0.18929637,0.18664773,0.18854569,0.18761791
1.2,0.08791343,0.08888716,0.08827095,0.08828392,0.08964907,0.0875543,0.08936558,0.08833977
1.3,0.01831922,0.01912675,0.01868174,0.01880609,0.01970495,0.01806913,0.01969769,0.01864119
1.4,-0.03040184,-0.02966045,-0.03001943,-0.02966372,-0.02927367,-0.03053847,-0.02914303,-0.03015671
1.5,-0.06387811,-0.06314516,-0.06345913,-0.06285518,-0.06292451,-0.06389313,-0.06273845,-0.0636635
1.6,-0.08601483,-0.08527063,-0.0855592,-0.08473476,-0.08518435,-0.08591768,-0.08498478,-0.08580219
1.7,-0.09967202,-0.0989267,-0.0991989,-0.09819552,-0.09894586,-0.0994935,-0.0987501,-0.0994605
1.8,-0.10700626,-0.10628088,-0.10654172,-0.10540034,-0.10638252,-0.10678402,-0.10619476,-0.10680879
1.9,-0.1096643,-0.10897509,-0.10922528,-0.10798395,-0.10914204,-0.10942793,-0.10895646,-0.10949253
2.0,-0.1089088,-0.10825917,-0.10851214,-0.10719163,-0.10848005,-0.10867816,-0.10830064,-0.10876554
2.1,-0.10570768,-0.1050973,-0.10534961,-0.10397443,-0.10536205,-0.10549284,-0.10517885,-0.10559154
