r,ae,UC,crenbl,lanl2,mdfstu,mwbstu,sbkjc,ECP
1.1,0.75455916,0.75813401,0.73250198,0.73916554,0.74153099,0.72846651,0.73370792,0.7294933
1.2,0.34196616,0.34451047,0.32609448,0.32804693,0.33354158,0.32361375,0.32723246,0.32573174
1.3,0.08614592,0.08806868,0.0732294,0.07287244,0.078668,0.07141081,0.07432872,0.07335126
1.4,-0.07496162,-0.07347419,-0.08645342,-0.08752423,-0.08273297,-0.08791765,-0.0855415,-0.08647415
1.5,-0.17420944,-0.17303975,-0.18499863,-0.18602783,-0.18252145,-0.18615459,-0.18440156,-0.18520262
1.6,-0.23090655,-0.22995155,-0.24129665,-0.24205554,-0.23966101,-0.24215564,-0.24107081,-0.24159797
1.7,-0.25803486,-0.25721833,-0.26815708,-0.26864566,-0.26708504,-0.26875359,-0.26828991,-0.26848645
1.8,-0.2649795,-0.26427164,-0.27492267,-0.27520061,-0.2742306,-0.27530256,-0.27535524,-0.27524195
1.9,-0.25859809,-0.25799422,-0.26843352,-0.26856358,-0.26799909,-0.26864102,-0.26909368,-0.26872503
2.0,-0.24385086,-0.24335148,-0.2536385,-0.25366413,-0.25338029,-0.25371332,-0.25445459,-0.25389704
2.1,-0.22427956,-0.22388395,-0.23406422,-0.23401863,-0.23392831,-0.2340393,-0.2349784,-0.23429089
