                                                  

       SCF,CCSD
   -37.65492302,   -38.00930946
   -37.77090101,   -38.11567117
   -37.77886826,   -38.15379622
   -37.61916018,   -37.94193504
   -37.62941855,   -37.93234432
   -37.20701702,   -37.48630014
   -37.03029668,   -37.29894558
   -36.77074252,   -37.02969836
   -36.48761099,   -36.73948993
   -34.27491326,   -34.49531092
   -31.54353306,   -31.72276892
   -28.27262459,   -28.40070275
   -24.19688795,   -24.30534832
   -19.52942085,   -19.61439200
   -14.25284281,   -14.31119147
                                                  
