                                                  

       SCF,CCSD
   -37.59109980,   -37.94682290
   -37.70270329,   -38.04925730
   -37.70461028,   -38.08924656
   -37.55031099,   -37.87458543
   -37.56358228,   -37.86801470
   -37.14397713,   -37.42491149
   -36.96718004,   -37.23745230
   -36.70774020,   -36.96821483
   -36.42457149,   -36.67793446
   -34.21787231,   -34.43947460
   -31.49211639,   -31.67240787
   -28.22580365,   -28.35499701
   -24.15645481,   -24.26580834
   -19.49281665,   -19.57843622
   -14.21611654,   -14.27482848
                                                  
