                                                  

         SCF,CCSD
   -3596.230894,   -3597.393660
   -3596.231050,   -3597.370968
   -3596.215750,   -3597.405802
   -3596.040679,   -3597.151983
   -3596.023159,   -3597.136870
   -3595.589495,   -3596.673887
   -3594.770383,   -3595.829453
   -3594.406081,   -3595.457557
   -3594.406049,   -3595.457551
   -3593.545607,   -3594.575440
   -3587.108132,   -3588.060000
   -3583.016591,   -3583.915348
   -3578.073146,   -3578.948375
   -3572.489591,   -3573.337130
   -3566.246926,   -3567.063239
                                                  
