                                                  

       SCF,CCSD
   -46.51096280,   -46.90826321
   -46.51152233,   -46.88519784
   -46.49613135,   -46.92018224
   -46.32062866,   -46.66628158
   -46.30318871,   -46.65077068
   -44.91432296,   -46.18739464
   -45.04854426,   -45.34244633
   -44.68623913,   -44.97218854
   -44.34038275,   -44.62339827
   -43.82437862,   -44.08856826
   -37.35587350,   -37.54431738
   -33.25538642,   -33.38986474
   -28.28888033,   -28.40280119
   -22.68890064,   -22.77819175
   -16.43884282,   -16.50025679
                                                  
