                                                  

         SCF,CCSD
   -3596.230894,   -3596.607176
   -3596.231050,   -3596.585339
   -3596.215750,   -3596.619960
   -3596.040679,   -3596.365753
   -3596.023159,   -3596.351746
   -3595.589495,   -3595.888151
   -3594.770383,   -3595.042845
   -3594.406081,   -3594.669683
   -3594.061415,   -3594.322561
   -3593.545607,   -3593.788056
   -3587.108132,   -3587.277730
   -3583.016591,   -3583.137073
   -3578.073146,   -3578.174261
   -3572.489591,   -3572.568331
   -3566.246926,   -3566.300924
                                                  
