                                                  

       SCF,CCSD
   -46.34550044,   -46.74361070
   -46.34657424,   -46.72125469
   -46.33116120,   -46.75580871
   -46.15528399,   -46.50195370
   -46.13872997,   -46.48712547
   -45.70365360,   -46.02323835
   -44.88245190,   -45.17703150
   -44.51775301,   -44.80488920
   -44.17236633,   -44.45635966
   -43.65650071,   -43.92146827
   -37.22343492,   -37.41199256
   -33.14217294,   -33.27698743
   -28.20006864,   -28.31388843
   -22.62364101,   -22.71245906
   -16.39478521,   -16.45540158
                                                  
