                                                  

       SCF,CCSD
   -45.99855421,   -46.40001722
   -46.00225645,   -46.38030012
   -45.98674346,   -46.41390587
   -45.80907203,   -46.15929018
   -45.79607585,   -46.14764685
   -45.35897047,   -45.68169645
   -44.53575258,   -44.83345254
   -44.16884455,   -44.45950505
   -43.82453964,   -44.11222408
   -43.30839323,   -43.57639719
   -36.93119860,   -37.12239787
   -32.88132914,   -33.01844954
   -27.97264400,   -28.08886318
   -22.43050093,   -22.52161177
   -16.23641785,   -16.29906277
                                                  
