                                                  

       SCF,CCSD
   -46.29748998,   -46.69636260
   -46.29817785,   -46.67363079
   -46.28281802,   -46.70831148
   -46.10741827,   -46.45487952
   -46.09047942,   -46.43965412
   -45.65629832,   -45.97674525
   -44.83614376,   -45.13174478
   -44.47158569,   -44.75975442
   -44.12703683,   -44.41220545
   -43.61109268,   -43.87720395
   -37.18176777,   -37.37185226
   -33.10384121,   -33.23982318
   -28.16316503,   -28.27827656
   -22.59025401,   -22.68026077
   -16.36811407,   -16.42960588
                                                  
