                                                  

       SCF,CCSD
   -46.43745659,   -46.83345410
   -46.43805242,   -46.81041084
   -46.42267352,   -46.84533697
   -46.24706876,   -46.59151609
   -46.22963909,   -46.57582791
   -45.79509220,   -46.11269226
   -44.97494334,   -45.26775677
   -44.61113632,   -44.89626340
   -44.26650490,   -44.54862896
   -43.75080702,   -44.01420342
   -37.29330455,   -37.48112556
   -33.20095620,   -33.33501231
   -28.24544308,   -28.35884891
   -22.65876833,   -22.74743198
   -16.42447785,   -16.48512891
                                                  
