                                                  

       SCF,CCSD
   -46.33153360,   -46.72916047
   -46.22835430,   -46.63083707
   -46.31837269,   -46.74235550
   -46.14212964,   -46.48846728
   -46.12715757,   -46.47546448
   -45.69244719,   -46.01194466
   -44.87172663,   -45.16622267
   -44.50640006,   -44.79334211
   -44.16193781,   -44.44582118
   -43.64613411,   -43.91102462
   -37.21409298,   -37.40268991
   -33.13347302,   -33.26833782
   -28.19204650,   -28.30594924
   -22.61661054,   -22.70551471
   -16.38917611,   -16.44984366
                                                  
