r,ae,UC,crenbl,lanl2,mdfstu,mwbstu,sbkjc,ECP2,ECP3,ECP5
1.1,0.16270212,0.16357713,0.16273217,0.16349403,0.16466217,0.16289306,0.1639246,0.1630983,0.16419195,0.16346954
1.2,0.06902057,0.06970639,0.06932,0.06978153,0.0707762,0.06934281,0.07038215,0.06957402,0.07039752,0.06988484
1.3,0.00598293,0.0066112,0.00651633,0.00690736,0.00758882,0.00640711,0.0073985,0.00664291,0.00725307,0.00688743
1.4,-0.03578963,-0.03517233,-0.03506601,-0.03466426,-0.03429311,-0.03527466,-0.03437781,-0.0350466,-0.03460702,-0.03486354
1.5,-0.06242404,-0.06183159,-0.06157751,-0.06114763,-0.06103422,-0.06185645,-0.06107328,-0.06163964,-0.06133586,-0.06150953
1.6,-0.07817184,-0.07763956,-0.07727295,-0.07682591,-0.07690183,-0.07759445,-0.07693075,-0.07739509,-0.07719755,-0.07730897
1.7,-0.08609705,-0.0856479,-0.0851962,-0.08474595,-0.08495987,-0.08554281,-0.08499,-0.08536148,-0.08524485,-0.08530916
1.8,-0.08844495,-0.08808703,-0.0875668,-0.08712688,-0.08743231,-0.08792099,-0.08747362,-0.08776387,-0.08770955,-0.08773721
1.9,-0.08687787,-0.08660139,-0.0860295,-0.08560365,-0.08596579,-0.0863801,-0.08602478,-0.08624562,-0.08623718,-0.08623914
2.0,-0.08262291,-0.08240954,-0.08179718,-0.08139841,-0.08179121,-0.08214358,-0.08186426,-0.08202814,-0.08205313,-0.08203578
2.1,-0.07658693,-0.07642156,-0.07577925,-0.07540104,-0.07581394,-0.07611309,-0.07590075,-0.07601459,-0.07606809,-0.07603438
2.2,-0.06943762,-0.06930978,-0.0686435,-0.06829758,-0.06871046,-0.06896213,-0.06880563,-0.06888033,-0.06895096,-0.06890784
2.3,-0.06167592,-0.06157084,-0.06088938,-0.06056822,-0.06097233,-0.06119032,-0.0610835,-0.06111922,-0.06120533,-0.06115847
2.4,-0.05366143,-0.05357977,-0.05288993,-0.05259303,-0.05298125,-0.05316982,-0.053101,-0.05310913,-0.05320244,-0.05314822
2.5,-0.04566689,-0.04561021,-0.04491078,-0.04464386,-0.04501265,-0.04517659,-0.04513534,-0.04511992,-0.04522333,-0.04516222
2.6,-0.03790055,-0.03787534,-0.03717303,-0.03692656,-0.03726554,-0.03741477,-0.03739475,-0.03735925,-0.03746874,-0.03740004
