r,ae,UC,crenbl,lanl2,mdfstu,mwbstu,sbkjc,ECP2
1.1,0.6820509,0.68602304,0.67024067,0.68040751,0.67916387,0.66983679,0.67463342,0.66832664
1.2,0.26684632,0.26995679,0.26086962,0.26653301,0.26789981,0.26085332,0.26468598,0.26049953
1.3,0.01170913,0.01430117,0.00882568,0.01226036,0.01372249,0.00840856,0.01210782,0.00858058
1.4,-0.14335339,-0.1411348,-0.1445364,-0.14205671,-0.14132941,-0.14538244,-0.14182197,-0.14490758
1.5,-0.23214926,-0.23020117,-0.23231922,-0.23026248,-0.23029309,-0.23341786,-0.23017491,-0.23277287
1.6,-0.27617684,-0.27443294,-0.27569579,-0.27388823,-0.2744557,-0.27688147,-0.27406674,-0.27616611
1.7,-0.29033127,-0.28878252,-0.28944382,-0.28783899,-0.28871922,-0.29061412,-0.28823586,-0.28989133
1.8,-0.28521428,-0.2838731,-0.28409439,-0.28267789,-0.28370723,-0.28519825,-0.28321541,-0.28450425
1.9,-0.26834194,-0.26721124,-0.26710061,-0.26585898,-0.26693699,-0.26811806,-0.26647542,-0.26747763
2.0,-0.24497367,-0.24404146,-0.24367463,-0.24258675,-0.24365976,-0.24460069,-0.24324606,-0.24401591
2.1,-0.21866762,-0.21791535,-0.21734488,-0.21639947,-0.2174349,-0.21819279,-0.21707049,-0.21766296
2.2,-0.1915993,-0.19101878,-0.19029941,-0.18946631,-0.19044096,-0.19107933,-0.19014327,-0.19059728
2.3,-0.16441534,-0.1639662,-0.16314387,-0.16241728,-0.16331974,-0.16388981,-0.16308924,-0.16345727
2.4,-0.1377434,-0.13737238,-0.13646424,-0.13597912,-0.13658707,-0.13709466,-0.13649094,-0.13663009
2.5,-0.11527145,-0.11505533,-0.11402958,-0.11383177,-0.11407658,-0.11451961,-0.11409802,-0.11401608
